genre,Genre_Group
Alternative Rock,Alternative
Baroque Pop,Pop
Celtic Rock,Rock/Punk/Metal
Christmas,Christmas
Classic Rock,Rock/Punk/Metal
Cover,Cover
Dance,Dance/House
Dance Pop,Dance/House
Dance-Pop,Dance/House
Disco,Disco
Drum And Bass,Electronic
East Coast Hip Hop,Rap/Hip-Hop
Electro House,Dance/House
Electronic,Electronic
Electropop,Electronic
Folk,Folk
Funk,Funk
Grime,Electronic
Hard Rock,Rock/Punk/Metal
Hip-Hop,Rap/Hip-Hop
House,Dance/House
Hyperpop,Pop
Hyphy,Rap/Hip-Hop
Indie,Indie
Jazz,Jazz
Lil Yachty,Rap/Hip-Hop
Moombahton,Electronic
Motown,Soul
Musicals,Musicals
Nu Metal,Rock/Punk/Metal
Pop,Pop
Pop-Rock,Pop
Progressive Rock,Rock/Punk/Metal
Psychedelic Soul,Soul
Reggae,Reggae
Rock,Rock/Punk/Metal
Rock & Roll,Rock & Roll
Rockabilly,Rock & Roll
Soft Pop,Pop
Soft Rock,Rock/Punk/Metal
Soul,Soul
Soundtrack,Soundtrack
Swing,Swing
Trap,Rap/Hip-Hop
Tropical House,Dance/House
Unnecessary Collaboration,Other
Vocal Jazz,Jazz
Afroswing,Afrobeats
Ambient Pop,Pop
Art Pop,Pop
Brazilian Bass,Electronic
British,Other
Britpop,Pop
Chill,Chill
Dancehall,Reggae
Experimental,Other
French House,Dance/House
Future Bass,Electronic
Hiphop,Rap/Hip-Hop
Indie Pop,Pop
Latin,Latin
Latin Pop,Latin
Lo-Fi,Other
Love At First Listen,Other
Mariachi,Latin
Modern Rock,Rock/Punk/Metal
Musical,Musicals
Neo-Soul,Soul
Please Let Me Lick You,Other
Pop Punk,Rock/Punk/Metal
Pop Rap,Rap/Hip-Hop
Synthpop,Pop
Tech House,Dance/House
Trip Hop,Electronic
Afrobeats,Afrobeats
Alternative,Alternative
Alternative Hip-Hop,Rap/Hip-Hop
Country,Country
Deep House,Dance/House
Electro,Electronic
Electro Pop,Electronic
Emo Rap,Rap/Hip-Hop
Featuring,Other
Female Vocalists,Chill
Folk Pop,Folk
Garbage,Other
Great Way To Start An Album,Other
Indie Rock,Indie
